id,disabled_on,segment,level,lft,parent_id,rght,tree_id,sector_cluster_id
eaa038eb-5f95-e211-a939-e4115bead28a,,Video Games,2,55,e7a038eb-5f95-e211-a939-e4115bead28a,56,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
981a72f1-5f95-e211-a939-e4115bead28a,,Electronics and IT Technologies,1,4,a138cecc-5f95-e211-a939-e4115bead28a,17,16,531d3510-3f42-41fd-86b5-fa686fdfe33f
a01a72f1-5f95-e211-a939-e4115bead28a,,Air Pollution and Noise Control,1,2,a238cecc-5f95-e211-a939-e4115bead28a,3,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a51a72f1-5f95-e211-a939-e4115bead28a,,Waste Management,1,12,a238cecc-5f95-e211-a939-e4115bead28a,19,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
96e61afa-5f95-e211-a939-e4115bead28a,,Non-Metal Waste and Scrap Recycling,2,15,a51a72f1-5f95-e211-a939-e4115bead28a,16,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
9de61afa-5f95-e211-a939-e4115bead28a,,Commercial Banking,2,5,9ae61afa-5f95-e211-a939-e4115bead28a,6,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a1e61afa-5f95-e211-a939-e4115bead28a,,Venture Capital,2,19,9fe61afa-5f95-e211-a939-e4115bead28a,20,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
76363000-6095-e211-a939-e4115bead28a,,Life Insurance,2,29,a4e61afa-5f95-e211-a939-e4115bead28a,30,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
7b363000-6095-e211-a939-e4115bead28a,,Legal Services,2,41,78363000-6095-e211-a939-e4115bead28a,42,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
84363000-6095-e211-a939-e4115bead28a,,Food and Drink Manufacturing,1,10,a538cecc-5f95-e211-a939-e4115bead28a,11,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
86363000-6095-e211-a939-e4115bead28a,,Secondary Food Processing,1,22,a538cecc-5f95-e211-a939-e4115bead28a,23,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
6b535406-6095-e211-a939-e4115bead28a,,Dentists,2,9,66535406-6095-e211-a939-e4115bead28a,10,24,0804745e-80b6-4bd1-8101-30e7a431623e
73535406-6095-e211-a939-e4115bead28a,,Medical Consumables,1,22,a738cecc-5f95-e211-a939-e4115bead28a,23,24,0804745e-80b6-4bd1-8101-30e7a431623e
72535406-6095-e211-a939-e4115bead28a,,Spectacles and Unmounted Lenses,2,33,6f535406-6095-e211-a939-e4115bead28a,34,24,0804745e-80b6-4bd1-8101-30e7a431623e
aa38cecc-5f95-e211-a939-e4115bead28a,,Marine,0,1,,2,29,531d3510-3f42-41fd-86b5-fa686fdfe33f
b5959812-6095-e211-a939-e4115bead28a,,Mass Transport,0,1,,2,30,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
ab38cecc-5f95-e211-a939-e4115bead28a,,Mechanical Electrical and Process Engineering,0,1,,2,31,531d3510-3f42-41fd-86b5-fa686fdfe33f
a522c9d2-5f95-e211-a939-e4115bead28a,,"Metals, Minerals and Materials",0,1,,14,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
6ef1690c-6095-e211-a939-e4115bead28a,,Composite Materials,1,4,a522c9d2-5f95-e211-a939-e4115bead28a,5,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
a822c9d2-5f95-e211-a939-e4115bead28a,,Ports and Logistics,0,1,,2,37,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
632b6af2-b583-e511-a84e-e4115bead28a,,Nuclear De-commissiong,2,3,70f1690c-6095-e211-a939-e4115bead28a,4,38,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a4959812-6095-e211-a939-e4115bead28a,,Wind,1,14,7ebb9fc6-5f95-e211-a939-e4115bead28a,19,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
