id,segment,sector_cluster_id,parent_id,path
a5da78e5-629e-4826-9a7c-ec1026adacd4,Marine engineering,531d3510-3f42-41fd-86b5-fa686fdfe33f,aa38cecc-5f95-e211-a939-e4115bead28a,Maritime : Marine engineering
6448e2bd-3f92-4e3d-8c41-0aff88a7a66b,Space,531d3510-3f42-41fd-86b5-fa686fdfe33f,,Space
cb2a9801-8d70-471c-b615-78401ce06b2b,Component manufacturing,531d3510-3f42-41fd-86b5-fa686fdfe33f,6448e2bd-3f92-4e3d-8c41-0aff88a7a66b,Space : Component manufacturing
53c3e672-4004-4a31-a707-b70369ca58f1,Aerostructures,531d3510-3f42-41fd-86b5-fa686fdfe33f,e9e181d2-f6a0-e211-b972-e4115bead28a,Aerospace : Component manufacturing : Aerostructures
88a69156-7e61-4464-8c6b-df4e4a883ad6,Systems,531d3510-3f42-41fd-86b5-fa686fdfe33f,e9e181d2-f6a0-e211-b972-e4115bead28a,Aerospace : Component manufacturing : Systems
b0b6c3c7-2d82-4c12-8013-ad39d3d47251,Advisory services,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Advisory services"
929451b8-4906-4ac4-a62f-0d410ff93304,Arable crops,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Arable crops"
2871b387-58ac-4e0f-a51c-66f58d8c0f60,Fertilisers and pesticides,0804745e-80b6-4bd1-8101-30e7a431623e,929451b8-4906-4ac4-a62f-0d410ff93304,"Agriculture, horticulture, fisheries and pets : Arable crops : Fertilisers and pesticides"
11f8589f-c976-4299-a587-31462f3d1f06,Harvest and early stage processing,0804745e-80b6-4bd1-8101-30e7a431623e,929451b8-4906-4ac4-a62f-0d410ff93304,"Agriculture, horticulture, fisheries and pets : Arable crops : Harvest and early stage processing"
88c1b3c2-a7a4-45f5-82a9-113488ac7488,Seeds and plant varieties,0804745e-80b6-4bd1-8101-30e7a431623e,929451b8-4906-4ac4-a62f-0d410ff93304,"Agriculture, horticulture, fisheries and pets : Arable crops : Seeds and plant varieties"
ffb7e1c1-7494-4a87-920a-77bf504dad8b,Soil management systems,0804745e-80b6-4bd1-8101-30e7a431623e,929451b8-4906-4ac4-a62f-0d410ff93304,"Agriculture, horticulture, fisheries and pets : Arable crops : Soil management systems"
2bc05621-8f17-4d2f-9534-dd0bcfd6bae9,Machinery,0804745e-80b6-4bd1-8101-30e7a431623e,67f7ffde-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Engineering and precision farming : Machinery"
5870cb1d-5fdf-4253-953f-d75e44c0fa61,Technology,0804745e-80b6-4bd1-8101-30e7a431623e,67f7ffde-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Engineering and precision farming : Technology"
9a48e8ef-254f-4ebe-805b-df6b295122c0,Fisheries and aquaculture,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Fisheries and aquaculture"
b989e342-4ded-4530-a985-b6f9160f6a65,Broodstock and genetics,0804745e-80b6-4bd1-8101-30e7a431623e,9a48e8ef-254f-4ebe-805b-df6b295122c0,"Agriculture, horticulture, fisheries and pets : Fisheries and aquaculture : Broodstock and genetics"
41a8d44f-78b1-443c-98c6-6617c8411f2e,Cages and farming systems,0804745e-80b6-4bd1-8101-30e7a431623e,9a48e8ef-254f-4ebe-805b-df6b295122c0,"Agriculture, horticulture, fisheries and pets : Fisheries and aquaculture : Cages and farming systems"
5834198b-4be2-457e-8b69-097313d4f286,Nutrition and husbandry,0804745e-80b6-4bd1-8101-30e7a431623e,9a48e8ef-254f-4ebe-805b-df6b295122c0,"Agriculture, horticulture, fisheries and pets : Fisheries and aquaculture : Nutrition and husbandry"
dddcb0b1-5911-4fa0-8c18-2052d923e581,Forestry and logging,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Forestry and logging"
33bf4b5e-dfaa-4720-baaf-c1fa47aca57b,Horticulture,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Horticulture"
d4cc5fdb-21bf-40df-8c9f-97492df3c0ba,Fruit and vegetable production,0804745e-80b6-4bd1-8101-30e7a431623e,33bf4b5e-dfaa-4720-baaf-c1fa47aca57b,"Agriculture, horticulture, fisheries and pets : Horticulture : Fruit and vegetable production"
387be980-4622-4243-aac9-98882e257859,Ornamental plants and flowers,0804745e-80b6-4bd1-8101-30e7a431623e,33bf4b5e-dfaa-4720-baaf-c1fa47aca57b,"Agriculture, horticulture, fisheries and pets : Horticulture : Ornamental plants and flowers"
fec265f1-d1cd-484b-b62b-3341917affa1,Infrastructure,0804745e-80b6-4bd1-8101-30e7a431623e,9638cecc-5f95-e211-a939-e4115bead28a,"Agriculture, horticulture, fisheries and pets : Infrastructure"
